t_sec,"amd_smi:::power_current:device=1"
42.697617,508
42.698625,508
42.699621,508
42.700627,508
42.701621,508
42.702637,508
42.703619,508
42.704627,508
42.705618,508
42.706627,508
42.707618,508
42.708627,508
42.709621,508
42.710627,508
42.711626,508
42.712639,508
42.713619,508
42.714627,508
42.715619,508
42.716628,508
42.717618,508
42.718628,508
42.719622,508
42.720618,508
42.721620,508
42.722629,508
42.723631,508
42.724618,508
42.725618,508
42.726628,508
42.727620,508
42.728629,508
42.729620,508
42.730627,508
42.731621,508
42.732628,508
42.733625,508
42.734643,508
42.735619,508
42.736629,508
42.737620,507
42.738629,507
42.739618,507
42.740628,507
42.741620,507
42.742629,507
42.743622,507
42.744639,507
42.745618,507
42.746628,507
42.747622,507
42.748629,507
42.749621,507
42.750629,507
42.751622,507
42.752629,507
42.753620,507
42.754634,507
42.755631,507
42.756630,507
42.757618,507
42.758628,507
42.759620,507
42.760629,507
42.761619,507
42.762630,507
42.763622,507
42.764633,507
42.765628,507
42.766629,507
42.767622,507
42.768629,507
42.769619,507
42.770630,507
42.771620,507
42.772630,507
42.773619,507
42.774630,507
42.775623,507
42.776644,507
42.777619,507
42.778630,507
42.779620,507
42.780634,507
42.781620,507
42.782631,507
42.783620,507
42.784623,507
42.785643,507
42.786635,507
42.787642,507
42.788621,507
42.789620,507
42.790631,507
42.791619,507
42.792631,507
42.793621,507
42.794632,507
42.795621,507
42.796635,507
42.797634,507
42.798632,507
42.799622,507
42.800631,507
42.801620,507
42.802632,507
42.803621,507
42.804627,507
42.805620,507
42.806631,507
42.807630,507
42.808645,507
42.809621,507
42.810632,507
42.811622,507
42.812633,507
42.813622,507
42.814633,507
42.815622,507
42.816632,507
42.817625,507
42.818642,507
42.819622,507
42.820633,507
42.821622,507
42.822626,507
42.823622,507
42.824632,507
42.825622,507
42.826633,507
42.827622,507
42.828642,507
42.829622,507
42.830632,507
42.831622,507
42.832634,507
42.833623,507
42.834632,507
42.835622,507
42.836634,507
42.837623,507
42.838637,507
42.839633,507
42.840634,507
42.841623,507
42.842630,507
42.843623,507
42.844630,507
42.845622,507
42.846628,507
42.847623,507
42.848630,507
42.849629,507
42.850646,507
42.851624,507
42.852629,507
42.853623,507
42.854629,507
42.855624,507
42.856631,507
42.857624,507
42.858630,507
42.859627,507
42.861005,507
42.861624,507
42.862635,507
42.863624,507
42.864631,507
42.865624,507
42.866629,507
42.867624,507
42.868629,507
42.869624,507
42.870645,507
42.871637,507
42.872630,507
42.873624,507
42.874632,507
42.875624,507
42.876635,507
42.877625,507
42.878631,507
42.879625,507
42.880631,507
42.881634,507
42.882631,507
42.883625,507
42.884628,507
42.885624,507
42.886629,507
42.887625,507
42.888626,507
42.889648,507
42.890627,507
42.891635,507
42.892648,507
42.893625,507
42.894632,507
42.895626,507
42.896631,507
42.897625,507
42.898630,507
42.899624,507
42.900631,507
42.901627,507
42.902646,507
42.903626,507
42.904630,507
42.905626,507
42.906631,507
42.907626,507
42.908637,507
42.909626,507
42.910636,507
42.911626,507
42.912630,507
42.913637,507
42.914636,507
42.915626,507
42.916636,507
42.917627,507
42.918636,507
42.919625,507
42.920637,507
42.921626,507
42.922636,507
42.923632,507
42.924651,507
42.925626,507
42.926638,507
42.927626,507
42.928633,507
42.929627,507
42.930637,507
42.931626,507
42.932630,507
42.933631,507
42.934648,507
42.935627,507
42.936638,507
42.937628,507
42.938632,507
42.939626,507
42.940638,507
42.941628,507
42.942638,507
42.943628,507
42.944648,507
42.945641,507
42.946639,507
42.947628,507
42.948633,507
42.949627,506
42.950633,506
42.951628,498
42.952632,498
42.953627,490
42.954649,490
42.955638,483
42.956639,483
42.957628,476
42.958638,476
42.959629,468
42.960639,468
42.961627,466
42.962638,466
42.963628,466
42.964638,466
42.965633,467
42.966652,467
42.967629,468
42.968639,468
42.969628,469
42.970638,469
42.971629,470
42.972638,470
42.973629,470
42.974639,470
42.975631,471
42.976650,471
42.977629,472
42.978640,472
42.979628,472
42.980638,472
42.981628,473
42.982640,473
42.983630,474
42.984640,474
42.985630,475
42.986645,475
42.987645,475
42.988640,475
42.989630,476
42.990640,476
42.991634,477
42.992633,477
42.993652,477
42.994631,477
42.995629,478
42.996642,478
42.997639,478
42.998654,478
42.999630,479
43.000641,479
43.001631,479
43.002641,479
43.003631,480
43.004641,480
43.005629,481
43.006641,481
43.007634,481
43.008655,481
43.009631,482
43.010642,482
43.011631,482
43.012641,482
43.013630,483
43.014637,483
43.015630,483
43.016641,483
43.017632,484
43.018652,484
43.019631,484
43.020645,484
43.021632,485
43.022640,485
43.023631,485
43.024641,485
43.025632,485
43.026641,485
43.027632,486
43.028641,486
43.029642,486
43.030637,486
43.031632,487
43.032642,487
43.033632,487
43.034642,487
43.035631,488
43.036643,488
43.037632,488
43.038643,488
43.039637,488
43.040656,488
43.041632,489
43.042643,489
43.043632,489
43.044641,489
43.045632,490
43.046640,490
43.047632,490
43.048638,490
43.049636,490
43.050656,490
43.051633,491
43.052641,491
43.053633,491
43.054639,491
43.055633,491
43.056643,491
43.057633,492
43.058638,492
43.059633,492
43.060653,492
43.061647,492
43.062644,492
43.063633,493
43.064640,493
43.065633,493
43.066645,493
43.067633,493
43.068640,493
43.069634,494
43.070649,494
43.071643,494
43.072644,494
43.073633,494
43.074639,494
43.075634,495
43.076645,495
43.077633,495
43.078640,495
43.079634,495
43.080639,495
43.081639,495
43.082658,495
43.083634,496
43.084644,496
43.085634,496
43.086641,496
43.087634,496
43.088641,496
43.089635,496
43.090641,496
43.091635,497
43.092656,497
43.093635,497
43.094640,497
43.095660,497
43.096640,497
43.097651,497
43.098647,497
43.099635,497
43.100645,497
43.101635,498
43.102650,498
43.103648,498
43.104641,498
43.105635,498
43.106645,498
43.107636,498
43.108645,498
43.109635,498
43.110646,498
43.111636,499
43.112642,499
43.113644,499
43.114659,499
43.115636,499
43.116647,499
43.117636,499
43.118646,499
43.119636,499
43.120646,499
43.121636,500
43.122646,500
43.123640,500
43.124660,500
43.125636,500
43.126647,500
43.127636,500
43.128646,500
43.129635,500
43.130647,500
43.131636,500
43.132648,500
43.133637,500
43.134658,500
43.135657,501
43.136643,501
43.137637,501
43.138646,501
43.139637,501
43.140648,501
43.141637,501
43.142647,501
43.143637,501
43.144648,501
43.145646,501
43.146646,501
43.147638,501
43.148647,501
43.149637,502
43.150647,502
43.151637,502
43.152648,502
43.153638,502
43.154648,502
43.155643,502
43.156659,502
43.157638,502
43.158648,502
43.159638,502
43.160648,502
43.161637,502
43.162648,502
43.163639,502
43.164648,502
43.165640,502
43.167018,502
43.167638,503
43.168648,503
43.169638,503
43.170648,503
43.171638,503
43.172648,503
43.173639,503
43.174648,503
43.175639,503
43.176653,503
43.177653,503
43.178649,503
43.179639,503
43.180649,503
43.181638,503
43.182649,503
43.183640,503
43.184649,503
43.185639,503
43.186650,503
43.187649,503
43.188663,503
43.189639,504
43.190647,504
43.191640,504
43.192650,504
